id_match,formations,score,goals,goals_past,total_shots,shots_on_target,shots_off_target,blocked_shots,total_possession,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dribbles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,clearances,interceptions,corners,win,draw,lose
8,4-2-3-1,2-Feb,2,2,8,5,2,1,43,362,299,83,4,15,7,13,47,12,52,9,14,21,62,34,10,7,1,0,1,0
9,3/5/2002,2-Jan,2,1,18,5,8,5,45.8,329,272,83,15,13,9,7,69,11,61,13,5,10,59,17,11,12,4,1,0,0
9,4-2-3-1,2-Jan,1,2,13,4,5,4,54.2,398,326,82,7,11,7,9,64,7,39,5,13,9,50,18,2,6,5,0,0,1
10,4-2-3-1,0 - 0,0,0,11,5,4,2,28.7,251,178,71,10,12,6,5,50,16,52,17,14,20,80,25,23,10,5,0,1,0
10,3/5/2002,0 - 0,0,0,7,3,2,2,71.3,636,554,87,5,15,5,6,33,15,48,14,17,16,73,22,14,11,4,0,1,0
11,4-2-3-1,0 - 1,1,0,7,2,3,2,39.5,351,254,72,5,9,4,2,44,17,53,15,17,20,91,22,34,8,3,1,0,0
11,4-2-3-1,0 - 1,0,1,15,6,5,4,60.5,518,431,83,5,6,2,4,33,15,47,17,15,16,80,20,10,9,10,0,0,1
12,4/3/2003,1-May,1,5,5,3,0,2,48.5,353,287,81,4,11,6,9,55,14,47,18,12,13,59,22,6,8,4,0,0,1
12,3-4-1-2,1-May,5,1,14,8,4,2,51.5,378,306,81,11,15,9,6,60,16,53,12,18,16,73,22,10,12,1,1,0,0
13,4-2-3-1,2-Feb,2,2,18,8,8,2,50.3,427,349,82,15,28,13,12,46,22,67,19,14,21,64,33,12,8,5,0,1,0
13,4-2-3-1,2-Feb,2,2,12,6,5,1,49.7,433,360,83,11,27,12,13,44,11,33,14,19,24,65,37,24,10,4,0,1,0
